"ID"	"EGLM_7b_t00_comp_Completion"	"EGLM_7b_t00_comp_Antecedens"	"EGLM_7b_t02_comp_Completion"	"EGLM_7b_t02_comp_Antecedens"	"EGLM_7b_t05_comp_Completion"	"EGLM_7b_t05_comp_Antecedens"	"EMG_70b_t00_comp_Completion"	"EMG_70b_t00_comp_Antecedens"	"EMG_70b_t05_comp_Completion"	"EMG_70b_t05_comp_Antecedens"	"GPT4_t05_comp_Completion"	"GPT4_t05_comp_Antecedens"	"SKLM_7b_t00_comp_Completion"	"SKLM_7b_t00_comp_Antecedens"	"SKLM_7b_t02_comp_Completion"	"SKLM_7b_t02_comp_Antecedens"	"SKLM_7b_t05_comp_Completion"	"SKLM_7b_t05_comp_Antecedens"
"1495"	"ID_101495"	"Dieser ist in den Wald gerannt."	"Hase"	"Dieser ist in den Wald gerannt."	"Hase"	"Dieser ist von einem Hasenjäger gefangen worden."	"Hasenjäger"	"Dieser ist ihm zu schnell gewesen."	"Hase"	"Dieser ist schnell gelaufen."	"Hase"	NA	NA	"Dieser ist sehr schnell."	"Hase"	"Dieser ist sehr schnell."	"Hase"	"Dieser ist sehr schnell gelaufen."	"Hase"
"1496"	"ID_101496"	"Dieser ist in den Wald gerannt."	"Hase"	"Dieser ist in den Wald gerannt."	"Hase"	"Dieser ist in den Wald gerannt."	"Hase"	"Dieser ist ihm zu schnell gewesen."	"Hase"	"Dieser ist in den Wald gerannt."	"Hase"	NA	NA	"Dieser ist sehr schnell."	"Hase"	"Dieser ist sehr schnell."	"Hase"	"Dieser ist aufgeregt und verfolgt den Hasen."	"Hase"
"1497"	"ID_101497"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist hungrig."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"	"Er ist aufgeregt."	"Hund"
"1498"	"ID_101498"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist hinter einem Baum verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist entsetzt gewesen."	"Hund"
"1499"	"ID_101499"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist auf die Straße gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist sehr schnell gelaufen."	"Hase"
"1500"	"ID_101500"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist hinter dem Zaun verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"
"1501"	"ID_101501"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist hungrig."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"	"Er ist aufgeregt."	"Hund"
"1502"	"ID_101502"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist hinter einem Baum verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist entsetzt gewesen."	"Hund"
"1503"	"ID_101503"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist auf die Straße gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist sehr schnell gelaufen."	"Hase"
"1504"	"ID_101504"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist hinter dem Zaun verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"
"1505"	"ID_101505"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist hungrig."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"	"Er ist aufgeregt."	"Hund"
"1506"	"ID_101506"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist hinter einem Baum verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist entsetzt gewesen."	"Hund"
"1507"	"ID_101507"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist auf die Straße gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist sehr schnell gelaufen."	"Hase"
"1508"	"ID_101508"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist hinter dem Zaun verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"
"1509"	"ID_101509"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist hungrig."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"	"Er ist aufgeregt."	"Hund"
"1510"	"ID_101510"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist hinter einem Baum verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist entsetzt gewesen."	"Hund"
"1511"	"ID_101511"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist auf die Straße gelaufen."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist sehr schnell gelaufen."	"Hase"
"1512"	"ID_101512"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist hinter dem Zaun verschwunden."	"Hund"	"Er ist enttäuscht."	"Hund"	"Er ist enttäuscht."	"Hund"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund auszuweichen."	"Hase"
"1513"	"ID_101513"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in die Garage gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der ist verärgert."	"Hase"
"1514"	"ID_101514"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der ist fröhlich."	"Hase"	"Der ist fröhlich."	"Hase"
"1515"	"ID_101515"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Baum verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist vor dem Hund geblieben."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hase ist dem Hund entgangen. Der ist glücklich."	"Hase"
"1516"	"ID_101516"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter ihm hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in den Wald gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"
"1517"	"ID_101517"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in die Garage gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der ist verärgert."	"Hase"
"1518"	"ID_101518"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der ist fröhlich."	"Hase"	"Der ist fröhlich."	"Hase"
"1519"	"ID_101519"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Baum verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist vor dem Hund geblieben."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hase ist dem Hund entgangen. Der ist glücklich."	"Hase"
"1520"	"ID_101520"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter ihm hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in den Wald gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"
"1521"	"ID_101521"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in die Garage gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der ist verärgert."	"Hase"
"1522"	"ID_101522"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der ist fröhlich."	"Hase"	"Der ist fröhlich."	"Hase"
"1523"	"ID_101523"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Baum verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist vor dem Hund geblieben."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hase ist dem Hund entgangen. Der ist glücklich."	"Hase"
"1524"	"ID_101524"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter ihm hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in den Wald gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"
"1525"	"ID_101525"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in die Garage gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der ist verärgert."	"Hase"
"1526"	"ID_101526"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der ist fröhlich."	"Hase"	"Der ist fröhlich."	"Hase"
"1527"	"ID_101527"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Baum verschwunden."	"Hund"	"Der ist schnell"	"Hase"	"Der ist vor dem Hund geblieben."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hase ist dem Hund entgangen. Der ist glücklich."	"Hase"
"1528"	"ID_101528"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter einem Bus verschwunden."	"Hund"	"Der ist hinter ihm hergelaufen."	"Hund"	"Der ist schnell"	"Hase"	"Der ist in den Wald gerannt."	"Hase"	NA	NA	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"	"Der Hund ist frustriert."	"Hund"
"1529"	"ID_101529"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinter ihm hergelaufen und hat ihn schließlich eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist dem Hasen hinterhergelaufen."	"Hund"
"1530"	"ID_101530"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergesprungen und hat ihn erwischt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Der Hase ist dem Hund entgangen. Dieser ist auf der Jagd nach ihm."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wegen seiner Geschwindigkeit schneller als der Hase."	"Hund"
"1531"	"ID_101531"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat versucht, ihn zu fangen."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist aufgeregt und macht sich auf den Weg, dem Hasen hinterherzujagen."	"Hund"
"1532"	"ID_101532"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Dieser ist hinter dem Baum verschwunden."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Diesen ist nicht nachzukommen."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist frustriert, dass er dem Hasen nicht folgen konnte."	"Hund"
"1533"	"ID_101533"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinter ihm hergelaufen und hat ihn schließlich eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist dem Hasen hinterhergelaufen."	"Hund"
"1534"	"ID_101534"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergesprungen und hat ihn erwischt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Der Hase ist dem Hund entgangen. Dieser ist auf der Jagd nach ihm."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wegen seiner Geschwindigkeit schneller als der Hase."	"Hund"
"1535"	"ID_101535"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat versucht, ihn zu fangen."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist aufgeregt und macht sich auf den Weg, dem Hasen hinterherzujagen."	"Hund"
"1536"	"ID_101536"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Dieser ist hinter dem Baum verschwunden."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Diesen ist nicht nachzukommen."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist frustriert, dass er dem Hasen nicht folgen konnte."	"Hund"
"1537"	"ID_101537"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinter ihm hergelaufen und hat ihn schließlich eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist dem Hasen hinterhergelaufen."	"Hund"
"1538"	"ID_101538"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergesprungen und hat ihn erwischt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Der Hase ist dem Hund entgangen. Dieser ist auf der Jagd nach ihm."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wegen seiner Geschwindigkeit schneller als der Hase."	"Hund"
"1539"	"ID_101539"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat versucht, ihn zu fangen."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist aufgeregt und macht sich auf den Weg, dem Hasen hinterherzujagen."	"Hund"
"1540"	"ID_101540"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Dieser ist hinter dem Baum verschwunden."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Diesen ist nicht nachzukommen."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist frustriert, dass er dem Hasen nicht folgen konnte."	"Hund"
"1541"	"ID_101541"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinter ihm hergelaufen und hat ihn schließlich eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist dem Hasen hinterhergelaufen."	"Hund"
"1542"	"ID_101542"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergesprungen und hat ihn erwischt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Der Hase ist dem Hund entgangen. Dieser ist auf der Jagd nach ihm."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wegen seiner Geschwindigkeit schneller als der Hase."	"Hund"
"1543"	"ID_101543"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist hinterhergelaufen und hat versucht, ihn zu fangen."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	""	""	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist aufgeregt und macht sich auf den Weg, dem Hasen hinterherzujagen."	"Hund"
"1544"	"ID_101544"	"Dieser ist hinterhergelaufen und hat ihn eingeholt."	"Hund"	"Dieser ist ihm gefolgt und hat ihn eingeholt."	"Hund"	"Dieser ist hinter dem Baum verschwunden."	"Hund"	"Diesen ist der Hase entgangen."	"Hund"	"Diesen ist nicht nachzukommen."	"Hund"	NA	NA	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist wütend auf den Hasen."	"Hund"	"Dieser ist frustriert, dass er dem Hasen nicht folgen konnte."	"Hund"
"1545"	"ID_101545"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in den Garten gelaufen."	"Hase"	"Er ist schnell genug gewesen."	"Hase"
"1546"	"ID_101546"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald geflohen."	"Hund"	"Er ist in den Wald geflohen."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist dem Hund entgangen."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"
"1547"	"ID_101547"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in seiner Laufbahn erfolgreich gewesen."	"Hase"
"1548"	"ID_101548"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in den Garten gelaufen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"
"1549"	"ID_101549"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in den Garten gelaufen."	"Hase"	"Er ist schnell genug gewesen."	"Hase"
"1550"	"ID_101550"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald geflohen."	"Hund"	"Er ist in den Wald geflohen."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist dem Hund entgangen."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"
"1551"	"ID_101551"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gelaufen."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in seiner Laufbahn erfolgreich gewesen."	"Hase"
"1552"	"ID_101552"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in den Garten gelaufen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"
"1553"	"ID_101553"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist in sein Loch zurückgekehrt."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist in den Garten gelaufen."	"Hase"	"Er ist schnell genug gewesen."	"Hase"
"1554"	"ID_101554"	"Er ist in den Wald gerannt."	"Hund"	"Er ist in den Wald geflohen."	"Hund"	"Er ist in den Wald geflohen."	"Hund"	"Er ist in sein Loch zurückgekehrt."	"Hase"	"Er ist dem Hund entgangen."	"Hase"	NA	NA	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"	"Er ist schnell genug gewesen, um dem Hund zu entkommen."	"Hase"
